date,open,high,low,close,volume
2023-07-10,108.0,108.0,108.0,108.0,7573800
2023-07-11,98.0,98.0,98.0,98.0,2971900
2023-07-12,89.0,99.0,89.0,89.0,39262900
2023-07-13,81.0,91.0,81.0,89.0,61081800
2023-07-14,85.0,89.0,84.0,84.0,13725600
2023-07-17,85.0,92.0,84.0,92.0,32209100
2023-07-18,93.0,99.0,84.0,86.0,43017200
2023-07-20,89.0,89.0,83.0,85.0,8140800
2023-07-21,85.0,86.0,81.0,82.0,9101000
2023-07-24,82.0,83.0,74.0,74.0,26867700
2023-07-25,74.0,75.0,68.0,73.0,16204200
2023-07-26,73.0,73.0,69.0,71.0,6792500
2023-07-27,71.0,78.0,71.0,78.0,17895600
2023-07-28,80.0,85.0,71.0,73.0,38511200
2023-07-31,80.0,80.0,69.0,70.0,8411100
2023-08-01,71.0,71.0,67.0,68.0,4164100
2023-08-02,69.0,70.0,65.0,66.0,7904200
2023-08-03,72.0,72.0,65.0,72.0,9111600
2023-08-04,73.0,79.0,70.0,79.0,23223100
2023-08-07,80.0,84.0,73.0,80.0,28971700
2023-08-08,80.0,82.0,75.0,76.0,8482200
2023-08-09,80.0,80.0,73.0,74.0,3417600
2023-08-10,74.0,75.0,72.0,75.0,2544300
2023-08-11,74.0,75.0,72.0,72.0,2697900
2023-08-14,73.0,74.0,71.0,71.0,2837200
2023-08-15,71.0,73.0,66.0,68.0,5402000
2023-08-16,69.0,74.0,67.0,72.0,9458100
2023-08-18,72.0,73.0,67.0,68.0,5082200
2023-08-21,68.0,70.0,65.0,66.0,16372600
2023-08-22,67.0,72.0,66.0,72.0,16861700
2023-08-23,79.0,79.0,74.0,79.0,32486400
2023-08-24,81.0,84.0,73.0,74.0,19795600
2023-08-25,67.0,77.0,67.0,72.0,5652200
2023-08-28,65.0,72.0,65.0,70.0,14730200
2023-08-29,77.0,77.0,68.0,69.0,4840400
2023-08-30,75.0,75.0,67.0,67.0,7756900
2023-08-31,70.0,70.0,66.0,69.0,2691300
2023-09-01,72.0,72.0,67.0,68.0,2972600
2023-09-04,69.0,70.0,66.0,68.0,3631500
2023-09-05,70.0,70.0,67.0,68.0,865900
2023-09-06,70.0,70.0,66.0,67.0,5026000
2023-09-07,71.0,71.0,66.0,66.0,2665400
2023-09-08,63.0,66.0,62.0,63.0,3607200
2023-09-11,63.0,65.0,63.0,64.0,1720200
2023-09-12,70.0,70.0,63.0,70.0,6418400
2023-09-13,77.0,77.0,66.0,66.0,11363200
2023-09-14,61.0,66.0,61.0,64.0,3147700
2023-09-15,67.0,70.0,64.0,66.0,3869800
2023-09-18,60.0,68.0,60.0,63.0,4972100
2023-09-19,60.0,65.0,60.0,64.0,1234900
2023-09-20,61.0,64.0,61.0,63.0,814500
2023-09-21,61.0,63.0,61.0,62.0,707600
2023-09-22,56.0,64.0,56.0,63.0,3202300
2023-09-25,57.0,63.0,57.0,62.0,659000
2023-09-26,56.0,67.0,56.0,62.0,1971400
2023-09-27,61.0,63.0,61.0,63.0,525100
2023-09-29,57.0,64.0,57.0,62.0,879900
2023-10-02,62.0,64.0,60.0,61.0,713000
2023-10-03,58.0,63.0,58.0,60.0,1860500
2023-10-04,58.0,66.0,58.0,65.0,18987400
2023-10-05,65.0,66.0,61.0,62.0,3002600
2023-10-06,59.0,65.0,59.0,64.0,3060900
2023-10-09,64.0,66.0,60.0,61.0,2616700
2023-10-10,57.0,62.0,57.0,61.0,1889300
2023-10-11,58.0,64.0,58.0,62.0,1478000
2023-10-12,59.0,63.0,59.0,61.0,2108600
2023-10-13,59.0,62.0,59.0,61.0,821000
2023-10-16,59.0,64.0,58.0,60.0,3031700
2023-10-17,55.0,62.0,55.0,59.0,1179000
2023-10-18,56.0,60.0,56.0,59.0,1600900
2023-10-19,59.0,60.0,58.0,59.0,669300
2023-10-20,59.0,60.0,58.0,58.0,1642400
2023-10-23,58.0,60.0,58.0,59.0,1634200
2023-10-24,59.0,59.0,57.0,58.0,923600
2023-10-25,58.0,60.0,57.0,58.0,1700100
2023-10-26,57.0,59.0,57.0,58.0,353700
2023-10-27,59.0,59.0,57.0,59.0,255300
2023-10-30,59.0,59.0,57.0,57.0,705300
2023-10-31,57.0,57.0,56.0,57.0,623200
2023-11-01,56.0,57.0,55.0,56.0,1518900
2023-11-02,55.0,57.0,53.0,54.0,2640100
2023-11-03,56.0,56.0,53.0,54.0,1036900
2023-11-06,55.0,55.0,49.0,52.0,4047600
2023-11-07,54.0,54.0,51.0,53.0,870100
2023-11-08,58.0,58.0,53.0,58.0,5398000
2023-11-09,63.0,63.0,59.0,63.0,6457500
2023-11-10,69.0,69.0,58.0,60.0,3437600
2023-11-13,66.0,66.0,57.0,59.0,964100
2023-11-14,64.0,64.0,55.0,58.0,2621200
2023-11-15,63.0,63.0,57.0,59.0,441800
2023-11-16,64.0,64.0,57.0,59.0,234600
2023-11-17,64.0,64.0,56.0,59.0,438100
2023-11-20,64.0,64.0,57.0,58.0,1318900
2023-11-21,64.0,64.0,57.0,59.0,122700
2023-11-22,64.0,64.0,57.0,59.0,69500
2023-11-23,64.0,64.0,56.0,58.0,323900
2023-11-24,63.0,63.0,56.0,57.0,225600
2023-11-27,62.0,62.0,56.0,57.0,706800
2023-11-28,60.0,60.0,56.0,57.0,31400
2023-11-29,62.0,62.0,55.0,56.0,231500
2023-11-30,60.0,60.0,54.0,56.0,874400
2023-12-01,61.0,61.0,54.0,55.0,783500
2023-12-04,60.0,60.0,54.0,56.0,362900
2023-12-05,61.0,61.0,55.0,56.0,270600
2023-12-06,59.0,59.0,54.0,56.0,330500
2023-12-07,61.0,61.0,52.0,55.0,1107200
2023-12-08,60.0,60.0,53.0,54.0,302900
2023-12-11,58.0,58.0,52.0,57.0,2413300
2023-12-12,60.0,60.0,53.0,54.0,1335500
2023-12-13,54.0,55.0,51.0,53.0,348800
2023-12-14,58.0,58.0,50.0,53.0,554500
2023-12-15,58.0,58.0,49.0,51.0,793400
2023-12-18,56.0,56.0,48.0,50.0,1701800
2023-12-19,50.0,50.0,48.0,50.0,525200
2023-12-20,50.0,50.0,48.0,50.0,552000
2023-12-21,55.0,55.0,48.0,50.0,507300
2023-12-22,50.0,50.0,48.0,50.0,333800
2023-12-27,50.0,50.0,48.0,49.0,320200
2023-12-28,48.0,50.0,48.0,49.0,70200
2023-12-29,50.0,50.0,48.0,48.0,396700
2024-01-02,49.0,50.0,47.0,49.0,525900
2024-01-03,53.0,53.0,47.0,48.0,164800
2024-01-04,52.0,52.0,47.0,49.0,244900
2024-01-05,49.0,49.0,48.0,49.0,158300
2024-01-08,53.0,53.0,47.0,49.0,292600
2024-01-09,49.0,49.0,47.0,48.0,299800
2024-01-10,49.0,49.0,47.0,49.0,137600
2024-01-11,49.0,49.0,47.0,49.0,148200
2024-01-12,52.0,52.0,47.0,48.0,110700
2024-01-15,48.0,48.0,48.0,48.0,0
2024-01-16,49.0,49.0,47.0,49.0,307500
2024-01-17,50.0,50.0,48.0,49.0,143900
2024-01-18,49.0,49.0,47.0,49.0,135300
2024-01-19,49.0,49.0,47.0,49.0,104200
2024-01-22,49.0,49.0,47.0,49.0,263300
2024-01-23,49.0,49.0,48.0,49.0,15300
2024-01-24,49.0,49.0,47.0,49.0,280100
2024-01-25,49.0,49.0,47.0,48.0,109500
2024-01-26,49.0,49.0,46.0,48.0,189300
2024-01-29,48.0,48.0,46.0,48.0,238100
2024-01-30,49.0,49.0,46.0,48.0,211500
2024-01-31,49.0,49.0,46.0,48.0,33500
2024-02-01,49.0,49.0,46.0,48.0,102000
2024-02-02,49.0,49.0,46.0,48.0,104200
2024-02-05,48.0,48.0,45.0,47.0,374100
2024-02-06,47.0,47.0,45.0,47.0,71700
2024-02-07,47.0,47.0,45.0,46.0,76500
2024-02-12,46.0,46.0,43.0,45.0,533800
2024-02-13,46.0,46.0,43.0,45.0,196200
2024-02-15,46.0,46.0,43.0,44.0,145800
2024-02-16,44.0,44.0,41.0,42.0,706200
2024-02-19,42.0,43.0,40.0,42.0,202000
