date,open,high,low,close,volume
2022-07-04,4020.0,4040.0,3840.0,3990.0,115885200
2022-07-05,4010.0,4070.0,3950.0,3990.0,72329600
2022-07-06,4050.0,4050.0,3970.0,4020.0,62679000
2022-07-07,4040.0,4050.0,4010.0,4040.0,42393800
2022-07-08,4050.0,4060.0,4000.0,4010.0,64049000
2022-07-11,4100.0,4100.0,4000.0,4040.0,42258000
2022-07-12,4060.0,4060.0,4010.0,4010.0,43399800
2022-07-13,4010.0,4030.0,3930.0,3940.0,96218200
2022-07-14,3940.0,4020.0,3900.0,4020.0,68708500
2022-07-15,4040.0,4210.0,4010.0,4150.0,146093800
2022-07-18,4110.0,4190.0,4070.0,4190.0,84009400
2022-07-19,4190.0,4190.0,4130.0,4160.0,91367900
2022-07-20,4140.0,4220.0,4140.0,4210.0,82344000
2022-07-21,4210.0,4260.0,4180.0,4260.0,107234600
2022-07-22,4240.0,4240.0,4190.0,4230.0,59792300
2022-07-25,4240.0,4260.0,4220.0,4240.0,37218000
2022-07-26,4240.0,4250.0,4190.0,4250.0,49786900
2022-07-27,4230.0,4300.0,4210.0,4300.0,60672300
2022-07-28,4310.0,4320.0,4190.0,4240.0,110767300
2022-07-29,4280.0,4300.0,4210.0,4230.0,108823600
2022-08-01,4230.0,4300.0,4230.0,4300.0,104724300
2022-08-02,4350.0,4450.0,4250.0,4450.0,112228800
2022-08-03,4450.0,4590.0,4410.0,4500.0,251825000
2022-08-04,4450.0,4550.0,4450.0,4550.0,186881500
2022-08-05,4590.0,4650.0,4530.0,4650.0,268967200
2022-08-08,4700.0,4700.0,4650.0,4700.0,191023500
2022-08-09,4700.0,4700.0,4630.0,4640.0,164453900
2022-08-10,4530.0,4590.0,4490.0,4560.0,162061400
2022-08-11,4550.0,4610.0,4520.0,4570.0,123629000
2022-08-12,4570.0,4600.0,4530.0,4550.0,124552500
2022-08-15,4540.0,4570.0,4440.0,4450.0,136882800
2022-08-16,4530.0,4580.0,4410.0,4410.0,127710800
2022-08-18,4360.0,4550.0,4350.0,4550.0,182044300
2022-08-19,4560.0,4610.0,4460.0,4600.0,177623900
2022-08-22,4550.0,4660.0,4530.0,4650.0,202320400
2022-08-23,4680.0,4710.0,4610.0,4660.0,229431400
2022-08-24,4660.0,4770.0,4600.0,4750.0,189007900
2022-08-25,4680.0,4700.0,4560.0,4570.0,179495700
2022-08-26,4510.0,4540.0,4480.0,4490.0,184317100
2022-08-29,4370.0,4550.0,4360.0,4520.0,101529800
2022-08-30,4580.0,4620.0,4480.0,4480.0,118884300
2022-08-31,4420.0,4600.0,4420.0,4560.0,175300400
2022-09-01,4560.0,4650.0,4530.0,4580.0,120871700
2022-09-02,4540.0,4620.0,4540.0,4600.0,106985000
2022-09-05,4560.0,4630.0,4550.0,4620.0,77323800
2022-09-06,4610.0,4620.0,4510.0,4510.0,61970100
2022-09-07,4500.0,4560.0,4480.0,4490.0,106145700
2022-09-08,4500.0,4640.0,4500.0,4560.0,123389200
2022-09-09,4550.0,4600.0,4530.0,4600.0,50307800
2022-09-12,4600.0,4600.0,4530.0,4540.0,74820600
2022-09-13,4540.0,4560.0,4520.0,4520.0,91510200
2022-09-14,4490.0,4530.0,4460.0,4480.0,97919200
2022-09-15,4540.0,4600.0,4500.0,4500.0,125599900
2022-09-16,4500.0,4500.0,4410.0,4410.0,210277300
2022-09-19,4460.0,4560.0,4440.0,4500.0,116164500
2022-09-20,4530.0,4540.0,4480.0,4480.0,100743700
2022-09-21,4450.0,4470.0,4410.0,4430.0,91363200
2022-09-22,4400.0,4450.0,4380.0,4430.0,89922900
2022-09-23,4400.0,4430.0,4380.0,4380.0,95911400
2022-09-26,4390.0,4510.0,4300.0,4460.0,132185400
2022-09-27,4450.0,4470.0,4380.0,4440.0,123113800
2022-09-28,4430.0,4530.0,4400.0,4470.0,104385500
2022-09-29,4460.0,4500.0,4420.0,4440.0,90290400
2022-09-30,4400.0,4500.0,4390.0,4460.0,111482000
2022-10-03,4460.0,4470.0,4380.0,4460.0,77569100
2022-10-04,4460.0,4510.0,4430.0,4440.0,87832800
2022-10-05,4490.0,4540.0,4460.0,4460.0,61888400
2022-10-06,4460.0,4480.0,4420.0,4430.0,60464300
2022-10-07,4400.0,4430.0,4350.0,4350.0,102570000
2022-10-10,4340.0,4420.0,4330.0,4420.0,72389100
2022-10-11,4360.0,4380.0,4310.0,4310.0,108794500
2022-10-12,4300.0,4350.0,4280.0,4340.0,107938600
2022-10-13,4330.0,4350.0,4290.0,4300.0,70034500
2022-10-14,4360.0,4360.0,4290.0,4290.0,68096300
2022-10-17,4200.0,4330.0,4200.0,4330.0,90321700
2022-10-18,4310.0,4340.0,4250.0,4250.0,72516000
2022-10-19,4220.0,4300.0,4200.0,4200.0,65848300
2022-10-20,4200.0,4350.0,4200.0,4350.0,165391500
2022-10-21,4300.0,4390.0,4300.0,4360.0,79825700
2022-10-24,4380.0,4450.0,4380.0,4410.0,76777200
2022-10-25,4430.0,4470.0,4390.0,4390.0,109154300
2022-10-26,4420.0,4430.0,4330.0,4370.0,97320500
2022-10-27,4390.0,4410.0,4340.0,4370.0,80270300
2022-10-28,4420.0,4450.0,4380.0,4450.0,91101500
2022-10-31,4460.0,4460.0,4360.0,4390.0,162753500
2022-11-01,4420.0,4420.0,4360.0,4420.0,108592900
2022-11-02,4400.0,4420.0,4220.0,4220.0,217855200
2022-11-03,4140.0,4170.0,4050.0,4130.0,231475000
2022-11-04,4070.0,4210.0,4070.0,4210.0,201183100
2022-11-07,4250.0,4280.0,4160.0,4280.0,129868800
2022-11-08,4270.0,4280.0,4200.0,4220.0,110546800
2022-11-09,4200.0,4230.0,4180.0,4190.0,145833200
2022-11-10,4110.0,4210.0,4110.0,4170.0,81249200
2022-11-11,4160.0,4180.0,4140.0,4150.0,227799300
2022-11-14,4090.0,4120.0,4030.0,4050.0,188771200
2022-11-15,4050.0,4080.0,4030.0,4050.0,88570400
2022-11-16,4000.0,4070.0,3960.0,4050.0,149512300
2022-11-17,4020.0,4070.0,4020.0,4040.0,68616700
2022-11-18,4070.0,4080.0,4010.0,4010.0,115907900
2022-11-21,4020.0,4060.0,4010.0,4030.0,45277400
2022-11-22,4020.0,4040.0,4000.0,4000.0,83888300
2022-11-23,3990.0,4030.0,3970.0,3970.0,95750400
2022-11-24,3980.0,4040.0,3980.0,4030.0,50741600
2022-11-25,4010.0,4040.0,3980.0,4030.0,73305800
2022-11-28,4030.0,4040.0,3980.0,3980.0,94063100
2022-11-29,3980.0,4020.0,3980.0,3980.0,94389800
2022-11-30,3970.0,4050.0,3970.0,4040.0,585687400
2022-12-01,4020.0,4040.0,3960.0,3960.0,230066600
2022-12-02,3950.0,4020.0,3930.0,4000.0,113336600
2022-12-05,3980.0,3990.0,3820.0,3840.0,148751200
2022-12-06,3640.0,3720.0,3580.0,3600.0,416468700
2022-12-07,3600.0,3700.0,3570.0,3680.0,278572200
2022-12-08,3700.0,3780.0,3620.0,3740.0,245646400
2022-12-09,3680.0,3720.0,3630.0,3650.0,164606100
2022-12-12,3670.0,3710.0,3640.0,3700.0,170545000
2022-12-13,3690.0,3790.0,3680.0,3750.0,231127000
2022-12-14,3820.0,3820.0,3740.0,3750.0,107175700
2022-12-15,3680.0,3720.0,3670.0,3670.0,143233600
2022-12-16,3610.0,3740.0,3610.0,3680.0,310944500
2022-12-19,3740.0,3790.0,3680.0,3720.0,119137700
2022-12-20,3730.0,3750.0,3700.0,3720.0,55351300
2022-12-21,3690.0,3790.0,3670.0,3790.0,98741000
2022-12-22,3800.0,3810.0,3740.0,3750.0,68702100
2022-12-23,3710.0,3780.0,3700.0,3780.0,45179400
2022-12-26,3780.0,3800.0,3730.0,3750.0,19216700
2022-12-27,3770.0,3840.0,3750.0,3810.0,49816500
2022-12-28,3800.0,3810.0,3710.0,3730.0,65006300
2022-12-29,3720.0,3790.0,3710.0,3780.0,51703500
2022-12-30,3760.0,3800.0,3750.0,3750.0,79677300
2023-01-02,3750.0,3800.0,3750.0,3800.0,7959900
2023-01-03,3790.0,3890.0,3770.0,3860.0,64235000
2023-01-04,3840.0,3860.0,3810.0,3820.0,56785600
2023-01-05,3800.0,3820.0,3720.0,3770.0,135167000
2023-01-06,3750.0,3770.0,3710.0,3710.0,65207400
2023-01-09,3730.0,3790.0,3730.0,3790.0,46616400
2023-01-10,3810.0,3850.0,3750.0,3830.0,80009900
2023-01-11,3820.0,3900.0,3790.0,3870.0,75139300
2023-01-12,3790.0,3900.0,3780.0,3860.0,105775500
2023-01-13,3820.0,3860.0,3770.0,3780.0,85780600
2023-01-16,3780.0,3850.0,3780.0,3850.0,58918700
